         證券代號      證券名稱
688      5388        中磊
689      5434        崇越
690      5469       瀚宇博
691      5471        松翰
692      5484        慧友
693      5515        建國
694      5521        工信
695      5522        遠雄
696      5525        順天
697      5531        鄉林
698      5533        皇鼎
699      5534        長虹
700      5607       遠雄港
701      5608       四維航
702      5706        鳳凰
703      5871     中租-KY
704      5880       合庫金
705      5906     台南-KY
706      5907     大洋-KY
707      6005       群益證
708      6108        競國
709      6112        聚碩
710      6115        鎰勝
711      6116        彩晶
712      6117        迎廣
713      6120        達運
714      6128        上福
715      6131        悠克
716      6133        金橋
717      6136       富爾特
718      6139        亞翔
719      6141        柏承
720      6142        友勁
721      6145        勁永
722      6152        百一
723      6153       嘉聯益
724      6155        鈞寶
725      6164        華興
726      6165        捷泰
727      6166        凌華
728      6168        宏齊
729      6172        互億
730      6176        瑞儀
731      6183        關貿
732      6184       大豐電
733      6189        豐藝
734      6191       精成科
735      6192        巨路
736      6196        帆宣
737      6197       佳必琪
738      6201       亞弘電
739      6202        盛群
740      6205        詮欣
741      6206        飛捷
742      6209       今國光
743      6213        聯茂
744      6214        精誠
745      6215        和椿
746      6216        居易
747      6224        聚鼎
748      6225        天瀚
749      6226        光鼎
750      6230        超眾
751      6235        華孚
752      6239        力成
753      6243        迅杰
754      6251        定穎
755      6257        矽格
756      6269        台郡
757      6271       同欣電
758      6277        宏正
759      6278       台表科
760      6281       全國電
761      6282        康舒
762      6283        淳安
763      6285        啟碁
764      6286        立錡
765      6289        華上
766      6505       台塑化
767      6605        帝寶
768      6702        興航
769      8008       建興電
770      8011        台通
771      8016        矽創
772      8021        尖點
773      8033        雷虎
774      8039        台虹
775      8046        南電
776      8070        長華
777      8072        陞泰
778      8078        華寶
779      8081        致新
780      8101        華冠
781      8103        瀚荃
782      8105        凌巨
783      8110        華東
784      8112        至上
785      8114       振樺電
786      8131       福懋科
787      8163        達方
788      8201        無敵
789      8210        勤誠
790      8213        志超
791      8215       明基材
792      8249        菱光
793      8261        富鼎
794      8271        宇瞻
795      8374        羅昇
796      8404   百和興業-KY
797      8411     福貞-KY
798      8422       可寧衛
799      8427     基勝-KY
800      8429     金麗-KY
801      8926       台汽電
802      8940       新天地
803    910069        新曄
804      9103   美德醫療-DR
805    910322    康師傅-DR
806    910482    聖馬丁-DR
807      9105    泰金寶-DR
808    910579        歐聖
809      9106    新焦點-DR
810    910708    恒大健-DR
811    910801     金衛-DR
812    910861     神州-DR
813    910948        融達
814      9110    越南控-DR
815    911201       僑威控
816    911602       華豐泰
817    911608     明輝-DR
818    911609       揚子江
819    911610        聯環
820    911611    中泰山-DR
